ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentCategory,IssueCategory
39,32,11,05-01-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
40,265,19,21-08-2024,1,The product stopped working after a month.,Negative,Durability
41,19,16,02-04-2023,4,Five stars for the quick delivery.,Positive,None
42,197,20,07-09-2024,5,"Excellent product, highly recommend!",Positive,None
43,167,10,21-12-2024,2,The product arrived late.,Negative,Delivery
44,94,16,10-01-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
45,66,19,11-09-2023,4,"Great purchase, very satisfied.",Positive,None
46,54,7,12-05-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
47,261,19,19-07-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
48,135,14,21-01-2023,4,Five stars for the quick delivery.,Positive,None
49,33,8,20-03-2024,1,Not worth the money.,Negative,Product Cost
50,280,18,22-10-2023,5,"Excellent product, highly recommend!",Positive,None
51,185,16,08-05-2024,5,"Excellent product, highly recommend!",Positive,None
52,70,20,11-03-2023,2,The product arrived late.,Negative,Delivery
53,137,6,18-12-2024,1,I had a bad experience with this product.,Negative,Product Performance
54,192,3,27-08-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
55,212,3,29-04-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
56,187,11,25-07-2024,2,Disappointed with the performance.,Negative,Product Performance
57,81,5,14-08-2023,1,The product stopped working after a month.,Negative,Durability
58,189,12,13-05-2023,1,The product stopped working after a month.,Negative,Durability
59,280,11,23-07-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
60,14,14,19-07-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
61,78,5,14-07-2024,1,Not worth the money.,Negative,Product Cost
62,91,20,17-08-2023,1,Not worth the money.,Negative,Product Cost
63,121,12,28-05-2023,2,The product arrived late.,Negative,Delivery
64,225,17,19-09-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
65,54,12,18-07-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
66,210,10,11-05-2024,4,Five stars for the quick delivery.,Positive,None
67,211,17,11-11-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
68,256,9,27-02-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
69,185,11,04-02-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
70,78,17,09-09-2023,5,"Excellent product, highly recommend!",Positive,None
71,6,4,17-07-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
72,26,17,13-07-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
73,277,16,20-11-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
74,159,12,27-01-2023,1,The product stopped working after a month.,Negative,Durability
75,174,18,24-04-2023,1,I had a bad experience with this product.,Negative,Product Performance
76,7,11,26-06-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
77,56,1,29-07-2024,1,I had a bad experience with this product.,Negative,Product Performance
78,285,14,13-05-2024,2,Disappointed with the performance.,Negative,Product Performance
79,252,9,17-09-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
80,223,3,25-08-2024,4,"Great purchase, very satisfied.",Positive,None
81,229,18,15-07-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
82,193,7,29-01-2024,1,Not worth the money.,Negative,Product Cost
83,152,13,05-12-2023,4,"Great purchase, very satisfied.",Positive,None
84,113,8,04-11-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
85,227,9,10-08-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
86,118,7,06-05-2024,2,Disappointed with the performance.,Negative,Product Performance
87,76,5,10-12-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
88,88,17,28-04-2023,2,Disappointed with the performance.,Negative,Product Performance
89,39,12,01-01-2023,4,Five stars for the quick delivery.,Positive,None
90,112,16,25-10-2023,4,"Great purchase, very satisfied.",Positive,None
91,282,16,08-09-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
92,161,2,27-11-2023,4,Five stars for the quick delivery.,Positive,None
93,60,20,24-10-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
94,164,1,16-09-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
95,67,14,28-01-2023,2,Disappointed with the performance.,Negative,Product Performance
96,245,19,13-03-2024,4,Five stars for the quick delivery.,Positive,None
97,39,9,30-12-2023,2,Disappointed with the performance.,Negative,Product Performance
98,250,15,30-08-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
99,194,1,08-08-2024,2,The product arrived late.,Negative,Delivery
100,163,19,28-04-2023,2,Disappointed with the performance.,Negative,Product Performance
101,286,3,25-03-2024,1,Not worth the money.,Negative,Product Cost
102,153,16,26-08-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
103,224,12,29-07-2023,2,Disappointed with the performance.,Negative,Product Performance
104,226,17,23-06-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
105,269,15,03-11-2023,2,The product arrived late.,Negative,Delivery
106,178,12,08-04-2024,5,"Excellent product, highly recommend!",Positive,None
107,126,4,08-10-2024,2,Disappointed with the performance.,Negative,Product Performance
108,275,9,26-09-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
109,200,3,21-03-2024,4,"Great purchase, very satisfied.",Positive,None
110,290,11,05-07-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
111,246,9,03-05-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
112,248,9,31-08-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
113,81,3,26-05-2023,4,"Great purchase, very satisfied.",Positive,None
114,260,9,11-06-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
115,228,12,28-01-2024,5,"Excellent product, highly recommend!",Positive,None
116,42,18,30-07-2024,2,The product arrived late.,Negative,Delivery
117,241,11,18-01-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
118,276,8,10-05-2023,1,The product stopped working after a month.,Negative,Durability
119,96,20,11-02-2023,1,I had a bad experience with this product.,Negative,Product Performance
120,15,2,28-11-2023,2,Disappointed with the performance.,Negative,Product Performance
121,7,11,21-10-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
122,59,15,24-08-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
123,165,18,09-01-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
124,17,11,03-08-2024,5,"Excellent product, highly recommend!",Positive,None
125,293,8,11-10-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
126,95,10,23-02-2024,4,Five stars for the quick delivery.,Positive,None
127,241,4,18-05-2023,4,"Great purchase, very satisfied.",Positive,None
128,120,8,26-02-2023,1,Not worth the money.,Negative,Product Cost
129,209,11,31-08-2023,4,"Great purchase, very satisfied.",Positive,None
130,191,7,31-12-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
131,242,11,22-08-2024,1,I had a bad experience with this product.,Negative,Product Performance
132,278,1,07-08-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
133,81,17,10-07-2023,1,The product stopped working after a month.,Negative,Durability
134,62,20,18-02-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
135,269,16,27-07-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
136,167,16,31-05-2024,1,I had a bad experience with this product.,Negative,Product Performance
137,283,5,19-12-2024,1,Not worth the money.,Negative,Product Cost
138,244,7,21-04-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
139,127,2,25-08-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
140,234,8,17-08-2024,1,I had a bad experience with this product.,Negative,Product Performance
141,264,8,23-03-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
142,211,1,05-08-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
143,292,16,30-05-2024,1,Not worth the money.,Negative,Product Cost
144,167,11,12-01-2023,1,Not worth the money.,Negative,Product Cost
145,29,10,12-10-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
146,24,15,22-12-2024,4,Five stars for the quick delivery.,Positive,None
147,205,6,16-09-2024,1,The product stopped working after a month.,Negative,Durability
148,14,3,18-01-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
149,119,6,07-12-2024,4,Five stars for the quick delivery.,Positive,None
150,208,12,01-06-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
151,265,6,20-12-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
152,198,8,17-01-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
153,156,3,26-12-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
154,256,4,11-03-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
155,227,11,28-07-2023,2,Disappointed with the performance.,Negative,Product Performance
156,283,15,18-06-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
157,162,18,03-04-2023,1,The product stopped working after a month.,Negative,Durability
158,284,15,17-11-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
159,260,17,08-11-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
160,254,11,29-12-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
161,103,18,03-01-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
162,101,13,13-12-2023,2,Disappointed with the performance.,Negative,Product Performance
163,245,5,23-03-2024,2,The product arrived late.,Negative,Delivery
164,112,20,15-01-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
165,233,1,24-12-2023,5,"Excellent product, highly recommend!",Positive,None
166,98,2,23-02-2024,2,Disappointed with the performance.,Negative,Product Performance
167,213,15,06-07-2023,5,"Excellent product, highly recommend!",Positive,None
168,66,18,20-04-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
169,199,18,06-09-2023,2,The product arrived late.,Negative,Delivery
170,231,1,07-07-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
171,267,11,18-08-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
172,292,18,09-06-2023,5,"Excellent product, highly recommend!",Positive,None
173,148,19,24-06-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
174,44,8,29-04-2024,5,"Excellent product, highly recommend!",Positive,None
175,246,8,03-01-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
176,99,19,06-02-2023,2,The product arrived late.,Negative,Delivery
177,191,17,09-08-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
178,209,18,25-09-2023,1,I had a bad experience with this product.,Negative,Product Performance
179,257,7,11-03-2024,1,Not worth the money.,Negative,Product Cost
180,265,4,09-03-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
181,83,7,02-07-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
182,218,11,13-11-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
183,24,13,01-05-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
184,191,12,31-07-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
185,230,8,01-12-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
186,52,1,23-11-2023,1,The product stopped working after a month.,Negative,Durability
187,227,16,05-11-2024,4,Five stars for the quick delivery.,Positive,None
188,182,1,28-10-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
189,92,11,05-12-2024,1,Not worth the money.,Negative,Product Cost
190,273,20,29-05-2024,2,The product arrived late.,Negative,Delivery
191,34,1,05-10-2024,2,The product arrived late.,Negative,Delivery
192,164,11,25-06-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
193,78,7,17-12-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
194,258,10,04-01-2024,1,Not worth the money.,Negative,Product Cost
195,242,5,17-02-2023,2,The product arrived late.,Negative,Delivery
196,11,5,23-10-2023,5,"Excellent product, highly recommend!",Positive,None
197,9,10,29-03-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
198,31,15,07-11-2023,2,Disappointed with the performance.,Negative,Product Performance
199,126,4,20-02-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
200,8,17,18-11-2024,5,"Excellent product, highly recommend!",Positive,None
201,220,4,30-03-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
202,188,13,23-03-2024,5,"Excellent product, highly recommend!",Positive,None
203,119,10,18-01-2023,1,The product stopped working after a month.,Negative,Durability
204,142,15,10-11-2024,1,I had a bad experience with this product.,Negative,Product Performance
205,183,2,13-02-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
206,160,11,19-07-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
207,18,18,24-08-2024,4,Five stars for the quick delivery.,Positive,None
208,67,16,24-01-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
209,293,20,29-11-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
210,197,10,13-09-2024,1,Not worth the money.,Negative,Product Cost
211,158,20,05-09-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
212,224,12,13-12-2024,1,I had a bad experience with this product.,Negative,Product Performance
213,260,2,25-11-2024,4,"Great purchase, very satisfied.",Positive,None
214,202,7,29-07-2024,4,"Great purchase, very satisfied.",Positive,None
215,207,10,13-05-2024,4,Five stars for the quick delivery.,Positive,None
216,85,10,07-01-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
217,262,4,11-05-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
218,269,8,30-08-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
219,34,10,20-10-2024,1,I had a bad experience with this product.,Negative,Product Performance
220,95,9,06-10-2023,1,I had a bad experience with this product.,Negative,Product Performance
221,209,13,20-12-2024,4,"Great purchase, very satisfied.",Positive,None
222,19,2,05-02-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
223,183,7,28-08-2024,1,The product stopped working after a month.,Negative,Durability
224,281,1,07-10-2023,1,The product stopped working after a month.,Negative,Durability
225,282,18,03-03-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
226,85,11,17-04-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
227,6,19,21-01-2024,5,"Excellent product, highly recommend!",Positive,None
228,225,2,01-08-2024,2,Disappointed with the performance.,Negative,Product Performance
229,258,15,04-08-2023,5,"Excellent product, highly recommend!",Positive,None
230,255,1,27-08-2024,2,The product arrived late.,Negative,Delivery
231,60,13,21-02-2024,2,The product arrived late.,Negative,Delivery
232,288,4,17-08-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
233,118,18,29-10-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
234,56,6,16-07-2024,5,"Excellent product, highly recommend!",Positive,None
235,187,2,14-04-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
236,130,11,25-09-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
237,198,5,14-01-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
238,119,4,08-06-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
239,113,14,21-04-2023,4,Five stars for the quick delivery.,Positive,None
240,226,13,30-08-2024,2,The product arrived late.,Negative,Delivery
241,232,13,26-06-2023,1,Not worth the money.,Negative,Product Cost
242,83,19,30-12-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
243,300,10,15-05-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
244,187,2,22-07-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
245,289,17,23-09-2024,1,Not worth the money.,Negative,Product Cost
246,232,4,22-04-2024,4,"Great purchase, very satisfied.",Positive,None
247,113,3,11-12-2023,1,Not worth the money.,Negative,Product Cost
248,254,4,10-03-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
249,143,6,27-01-2024,5,"Excellent product, highly recommend!",Positive,None
250,136,9,03-04-2024,5,"Excellent product, highly recommend!",Positive,None
251,214,11,07-02-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
252,135,4,14-01-2024,4,Five stars for the quick delivery.,Positive,None
253,221,9,18-10-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
254,257,5,05-09-2024,1,Not worth the money.,Negative,Product Cost
255,213,20,20-10-2023,1,The product stopped working after a month.,Negative,Durability
256,189,9,30-03-2023,1,I had a bad experience with this product.,Negative,Product Performance
257,294,4,13-08-2023,1,The product stopped working after a month.,Negative,Durability
258,238,18,15-02-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
259,260,16,14-03-2024,4,Five stars for the quick delivery.,Positive,None
260,11,20,13-07-2023,1,Not worth the money.,Negative,Product Cost
261,281,7,30-03-2024,4,"Great purchase, very satisfied.",Positive,None
262,201,11,18-06-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
263,89,16,17-11-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
264,2,16,16-10-2023,1,I had a bad experience with this product.,Negative,Product Performance
265,62,10,23-03-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
266,139,1,24-06-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
267,64,7,27-12-2023,4,"Great purchase, very satisfied.",Positive,None
268,145,5,30-11-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
269,175,13,30-03-2023,2,The product arrived late.,Negative,Delivery
270,102,5,16-03-2024,1,The product stopped working after a month.,Negative,Durability
271,79,3,01-08-2023,2,The product arrived late.,Negative,Delivery
272,131,4,05-12-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
273,177,3,10-01-2023,2,Disappointed with the performance.,Negative,Product Performance
274,181,9,16-05-2023,1,I had a bad experience with this product.,Negative,Product Performance
275,186,5,07-05-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
276,4,12,16-02-2024,2,The product arrived late.,Negative,Delivery
277,258,2,06-06-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
278,270,6,14-12-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
279,225,6,27-04-2024,5,"Excellent product, highly recommend!",Positive,None
280,78,13,12-07-2023,4,"Great purchase, very satisfied.",Positive,None
281,158,2,09-12-2024,1,I had a bad experience with this product.,Negative,Product Performance
282,95,20,05-08-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
283,272,4,12-09-2023,4,Five stars for the quick delivery.,Positive,None
284,209,16,12-06-2023,2,Product did not meet my expectations.,Negative,Unmet Expectations
285,127,8,08-06-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
286,65,15,02-04-2024,1,The product stopped working after a month.,Negative,Durability
287,220,15,26-10-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
288,172,17,04-06-2024,5,"Excellent product, highly recommend!",Positive,None
289,298,10,30-01-2024,2,The product arrived late.,Negative,Delivery
290,229,15,29-10-2023,2,Disappointed with the performance.,Negative,Product Performance
291,78,19,24-10-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
292,100,3,26-07-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
293,251,12,14-10-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
294,81,13,23-02-2024,2,The product arrived late.,Negative,Delivery
295,134,20,05-01-2023,1,I had a bad experience with this product.,Negative,Product Performance
296,170,8,19-02-2024,1,I had a bad experience with this product.,Negative,Product Performance
297,217,15,23-10-2024,2,The product arrived late.,Negative,Delivery
298,108,6,02-02-2023,4,"Great purchase, very satisfied.",Positive,None
299,39,13,07-05-2023,1,The product stopped working after a month.,Negative,Durability
300,106,4,10-05-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
301,8,11,07-09-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
302,22,7,21-07-2024,1,I had a bad experience with this product.,Negative,Product Performance
303,274,8,13-07-2023,4,"Great purchase, very satisfied.",Positive,None
304,53,11,11-11-2024,1,The product stopped working after a month.,Negative,Durability
305,50,17,17-01-2023,5,"Excellent product, highly recommend!",Positive,None
306,204,13,14-10-2023,2,The product arrived late.,Negative,Delivery
307,6,6,13-09-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
308,70,18,01-03-2023,5,"Excellent product, highly recommend!",Positive,None
309,114,17,25-06-2024,1,The product stopped working after a month.,Negative,Durability
310,188,7,15-03-2023,5,"Excellent product, highly recommend!",Positive,None
311,182,9,15-11-2024,4,"Great purchase, very satisfied.",Positive,None
312,289,16,11-07-2024,5,"Excellent product, highly recommend!",Positive,None
313,185,16,09-09-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
314,45,11,16-08-2024,1,Not worth the money.,Negative,Product Cost
315,44,1,20-11-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
316,219,1,27-05-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
317,94,8,25-01-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
318,31,10,11-02-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
319,73,14,30-10-2024,4,Five stars for the quick delivery.,Positive,None
320,74,10,21-05-2024,2,The product arrived late.,Negative,Delivery
321,68,5,11-12-2023,5,"Excellent product, highly recommend!",Positive,None
322,282,5,12-03-2024,1,I had a bad experience with this product.,Negative,Product Performance
323,51,8,12-12-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
324,213,5,08-03-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
325,272,10,03-02-2023,5,"Excellent product, highly recommend!",Positive,None
326,166,16,20-09-2024,2,Disappointed with the performance.,Negative,Product Performance
327,255,1,09-02-2024,4,Five stars for the quick delivery.,Positive,None
328,269,3,08-02-2023,2,Disappointed with the performance.,Negative,Product Performance
329,245,12,08-07-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
330,272,13,04-03-2024,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
331,26,18,08-08-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
332,283,3,05-02-2024,2,The product arrived late.,Negative,Delivery
333,84,4,25-10-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
334,227,8,27-04-2024,4,"Great purchase, very satisfied.",Positive,None
335,28,17,03-12-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
336,43,9,22-07-2023,2,Disappointed with the performance.,Negative,Product Performance
337,10,7,25-09-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
338,80,1,23-02-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
339,201,6,12-02-2024,1,Not worth the money.,Negative,Product Cost
340,21,16,08-01-2023,1,I had a bad experience with this product.,Negative,Product Performance
341,91,10,19-05-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
342,263,11,30-10-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
343,268,18,26-06-2024,2,Disappointed with the performance.,Negative,Product Performance
344,88,3,25-08-2023,4,Five stars for the quick delivery.,Positive,None
345,237,8,29-06-2024,5,"Excellent product, highly recommend!",Positive,None
346,170,6,06-06-2023,2,Disappointed with the performance.,Negative,Product Performance
347,107,6,19-05-2023,2,Disappointed with the performance.,Negative,Product Performance
348,233,6,02-12-2023,4,Shipping was fast and the item was well-packaged.,Positive,None
349,20,4,31-10-2023,2,Disappointed with the performance.,Negative,Product Performance
350,128,18,01-12-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
351,251,12,26-10-2023,4,"Great purchase, very satisfied.",Positive,None
352,44,17,03-07-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
353,160,12,06-09-2024,4,Shipping was fast and the item was well-packaged.,Positive,None
354,233,18,23-02-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
355,244,19,27-06-2023,1,The product stopped working after a month.,Negative,Durability
356,139,14,10-08-2023,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
357,211,20,19-06-2024,4,"Great purchase, very satisfied.",Positive,None
358,245,12,04-01-2024,1,I had a bad experience with this product.,Negative,Product Performance
359,188,1,14-10-2023,3,"Average experience, nothing special.",Mixed Negative,Unmet Expectations
360,279,8,06-07-2024,2,Product did not meet my expectations.,Negative,Unmet Expectations
361,185,2,14-01-2023,1,The product stopped working after a month.,Negative,Durability
362,256,15,02-02-2023,2,Disappointed with the performance.,Negative,Product Performance
363,298,2,12-07-2023,5,"Excellent product, highly recommend!",Positive,None
364,228,5,08-04-2023,1,I had a bad experience with this product.,Negative,Product Performance
365,40,8,07-01-2024,2,Disappointed with the performance.,Negative,Product Performance
366,257,1,17-10-2023,4,"Great purchase, very satisfied.",Positive,None
367,108,8,23-04-2023,1,Not worth the money.,Negative,Product Cost
368,192,14,17-08-2024,3,"Good quality, but could be cheaper.",Mixed Negative,Product Cost
369,136,1,29-04-2023,5,The quality is top-notch. Fits perfectly!,Positive,None
370,43,10,20-02-2024,5,The quality is top-notch. Fits perfectly!,Positive,None
